axis,dir,deg,us,adc_mean,adc_min,adc_max,adc_sd,mv
AZ,DN,130.0,1872,2511.72,2467,2553,19.14,2204
AZ,DN,128.0,1851,2478.12,2439,2530,16.38,2176
AZ,DN,126.0,1830,2451.00,2420,2496,16.70,2153
AZ,DN,124.0,1809,2408.94,2381,2448,15.65,2122
AZ,DN,122.0,1788,2390.28,2362,2443,17.73,2107
AZ,DN,120.0,1767,2351.27,2315,2394,19.92,2070
AZ,DN,118.0,1746,2325.75,2217,2432,29.09,2049
AZ,DN,116.0,1724,2291.64,2237,2331,18.58,2022
AZ,DN,114.0,1703,2260.91,2223,2306,16.57,2000
AZ,DN,112.0,1682,2227.36,2195,2343,21.21,1971
AZ,DN,110.0,1661,2199.94,2122,2251,19.25,1946
AZ,DN,108.0,1640,2144.92,2107,2288,27.54,1901
AZ,DN,106.0,1619,2112.53,2058,2231,28.81,1868
AZ,DN,104.0,1598,2069.91,2034,2108,17.47,1843
AZ,DN,102.0,1577,2032.33,1986,2078,20.30,1808
AZ,DN,100.0,1556,2002.17,1965,2069,21.27,1781
AZ,DN,98.0,1534,1972.08,1936,2018,16.20,1762
AZ,DN,96.0,1513,1941.89,1901,1999,19.86,1739
AZ,DN,94.0,1492,1908.34,1855,1957,21.08,1711
AZ,DN,92.0,1471,1878.64,1839,1930,20.57,1684
AZ,DN,90.0,1450,1842.89,1798,1900,19.11,1651
AZ,DN,88.0,1429,1807.25,1745,1845,19.26,1631
AZ,DN,86.0,1408,1781.73,1743,1837,21.25,1604
AZ,DN,84.0,1387,1750.25,1718,1808,19.66,1580
AZ,DN,82.0,1366,1686.59,1648,1723,20.24,1529
AZ,DN,80.0,1344,1646.03,1584,1691,17.43,1497
AZ,DN,78.0,1323,1625.55,1593,1669,18.11,1471
AZ,DN,76.0,1302,1588.12,1535,1647,21.39,1450
AZ,DN,74.0,1281,1554.84,1519,1618,24.75,1423
AZ,DN,72.0,1260,1524.39,1492,1581,18.64,1394
AZ,DN,70.0,1239,1493.98,1459,1565,20.17,1366
AZ,DN,68.0,1218,1467.25,1434,1575,22.60,1342
AZ,DN,66.0,1197,1423.27,1380,1479,20.43,1314
AZ,DN,64.0,1176,1400.58,1287,1520,27.07,1290
AZ,DN,62.0,1154,1371.16,1324,1423,19.74,1269
AZ,DN,60.0,1133,1341.00,1296,1424,25.21,1244
EL,UP,100.0,1556,1981.72,1936,2035,18.86,1766
EL,UP,102.0,1577,2012.64,1975,2063,14.97,1799
EL,UP,104.0,1598,2041.72,2009,2079,16.47,1821
EL,UP,106.0,1619,2082.86,2047,2125,17.53,1851
EL,UP,108.0,1640,2111.70,2035,2160,20.79,1879
EL,UP,110.0,1661,2178.02,2128,2240,19.27,1930
EL,UP,112.0,1682,2211.05,2176,2256,18.27,1957
EL,UP,114.0,1703,2245.00,2208,2287,19.77,1985
EL,UP,116.0,1724,2272.17,2233,2310,16.46,2010
EL,UP,118.0,1746,2306.55,2198,2358,22.90,2036
EL,UP,120.0,1767,2337.75,2294,2384,18.23,2061
EL,UP,122.0,1788,2374.02,2347,2443,18.74,2089
EL,UP,124.0,1809,2402.42,2352,2448,17.62,2115
EL,UP,126.0,1830,2437.80,2387,2487,19.73,2138
EL,UP,128.0,1851,2470.42,2421,2518,17.96,2170
EL,UP,130.0,1872,2504.38,2474,2559,15.51,2196
EL,UP,132.0,1893,2541.45,2512,2621,23.10,2223
EL,UP,134.0,1914,2570.05,2542,2624,21.20,2247
EL,UP,136.0,1936,2637.56,2514,2691,26.64,2309
EL,UP,138.0,1957,2672.78,2626,2726,22.03,2337
EL,UP,140.0,1978,2705.11,2666,2761,19.81,2364
EL,UP,142.0,1999,2738.48,2699,2800,19.96,2398
EL,UP,144.0,2020,2776.59,2732,2826,22.07,2414
EL,UP,146.0,2041,2810.88,2719,2859,24.14,2453
EL,UP,148.0,2062,2847.92,2799,2930,20.87,2480
EL,UP,150.0,2083,2888.09,2837,2935,22.22,2504
EL,UP,152.0,2104,2919.48,2883,2966,17.90,2533
EL,UP,154.0,2126,2954.33,2899,3017,25.03,2551
EL,UP,156.0,2147,2987.89,2833,3039,27.59,2577
EL,UP,158.0,2168,3073.03,3029,3129,20.68,2632
EL,UP,160.0,2189,3116.66,3024,3166,24.27,2663
EL,UP,162.0,2210,3163.00,3036,3248,34.43,2689
EL,UP,164.0,2231,3199.70,3157,3264,22.91,2713
